"word","buyer","total_amount"
"airbus","Financial Transactions and Reports Analysis Centre of Canada",0
"textron","Financial Transactions and Reports Analysis Centre of Canada",0
"dynamics","Financial Transactions and Reports Analysis Centre of Canada",0
"dettwiler","Financial Transactions and Reports Analysis Centre of Canada",0
"atomics","Financial Transactions and Reports Analysis Centre of Canada",0
"skyalyne","Privy Council Office",0
"vancouver shipyards","Privy Council Office",0
"cae","Privy Council Office",0
"f35","Privy Council Office",0
"airbus","Privy Council Office",0
"textron","Privy Council Office",0
"dettwiler","Privy Council Office",0
"atomics","Privy Council Office",0
"skyalyne","Shared Services Canada",0
"vancouver shipyards","Shared Services Canada",0
"cae","Shared Services Canada",0
"f35","Shared Services Canada",0
"textron","Shared Services Canada",0
"dettwiler","Shared Services Canada",0
"atomics","Shared Services Canada",0
"skyalyne","Immigration, Refugees and Citizenship Canada",0
"vancouver shipyards","Immigration, Refugees and Citizenship Canada",0
"cae","Immigration, Refugees and Citizenship Canada",0
"f35","Immigration, Refugees and Citizenship Canada",0
"bell","Immigration, Refugees and Citizenship Canada",0
"airbus","Immigration, Refugees and Citizenship Canada",0
"textron","Immigration, Refugees and Citizenship Canada",0
"dettwiler","Immigration, Refugees and Citizenship Canada",0
"atomics","Immigration, Refugees and Citizenship Canada",0
"skyalyne","Royal Canadian Mounted Police",0
"vancouver shipyards","Royal Canadian Mounted Police",0
"cae","Royal Canadian Mounted Police",0
"f35","Royal Canadian Mounted Police",0
"textron","Royal Canadian Mounted Police",0
"dettwiler","Royal Canadian Mounted Police",0
"atomics","Royal Canadian Mounted Police",0
"skyalyne","Global Affairs Canada",0
"vancouver shipyards","Global Affairs Canada",0
"cae","Global Affairs Canada",0
"f35","Global Affairs Canada",0
"airbus","Global Affairs Canada",0
"textron","Global Affairs Canada",0
"dettwiler","Global Affairs Canada",0
"atomics","Global Affairs Canada",0
"skyalyne","Transport Canada",0
"vancouver shipyards","Transport Canada",0
"f35","Transport Canada",0
"dettwiler","Transport Canada",0
"atomics","Transport Canada",0
"skyalyne","Fisheries and Oceans Canada",0
"cae","Fisheries and Oceans Canada",0
"f35","Fisheries and Oceans Canada",0
"dettwiler","Fisheries and Oceans Canada",0
"atomics","Fisheries and Oceans Canada",0
"skyalyne","Natural Sciences and Engineering Research Council of Canada",0
"vancouver shipyards","Natural Sciences and Engineering Research Council of Canada",0
"cae","Natural Sciences and Engineering Research Council of Canada",0
"f35","Natural Sciences and Engineering Research Council of Canada",0
"airbus","Natural Sciences and Engineering Research Council of Canada",0
"textron","Natural Sciences and Engineering Research Council of Canada",0
"dynamics","Natural Sciences and Engineering Research Council of Canada",0
"dettwiler","Natural Sciences and Engineering Research Council of Canada",0
"atomics","Natural Sciences and Engineering Research Council of Canada",0
"skyalyne","Canadian Intergovernmental Conference Secretariat",0
"vancouver shipyards","Canadian Intergovernmental Conference Secretariat",0
"cae","Canadian Intergovernmental Conference Secretariat",0
"f35","Canadian Intergovernmental Conference Secretariat",0
"bell","Canadian Intergovernmental Conference Secretariat",0
"airbus","Canadian Intergovernmental Conference Secretariat",0
"textron","Canadian Intergovernmental Conference Secretariat",0
"dynamics","Canadian Intergovernmental Conference Secretariat",0
"dettwiler","Canadian Intergovernmental Conference Secretariat",0
"atomics","Canadian Intergovernmental Conference Secretariat",0
"skyalyne","Canadian Radio-television and Telecommunications Commission",0
"vancouver shipyards","Canadian Radio-television and Telecommunications Commission",0
"cae","Canadian Radio-television and Telecommunications Commission",0
"f35","Canadian Radio-television and Telecommunications Commission",0
"airbus","Canadian Radio-television and Telecommunications Commission",0
"textron","Canadian Radio-television and Telecommunications Commission",0
"dynamics","Canadian Radio-television and Telecommunications Commission",0
"dettwiler","Canadian Radio-television and Telecommunications Commission",0
"atomics","Canadian Radio-television and Telecommunications Commission",0
"skyalyne","Polar Knowledge Canada",0
"vancouver shipyards","Polar Knowledge Canada",0
"cae","Polar Knowledge Canada",0
"f35","Polar Knowledge Canada",0
"airbus","Polar Knowledge Canada",0
"textron","Polar Knowledge Canada",0
"dynamics","Polar Knowledge Canada",0
"dettwiler","Polar Knowledge Canada",0
"atomics","Polar Knowledge Canada",0
"skyalyne","Office of the Superintendent of Financial Institutions Canada",0
"vancouver shipyards","Office of the Superintendent of Financial Institutions Canada",0
"cae","Office of the Superintendent of Financial Institutions Canada",0
"f35","Office of the Superintendent of Financial Institutions Canada",0
"airbus","Office of the Superintendent of Financial Institutions Canada",0
"textron","Office of the Superintendent of Financial Institutions Canada",0
"dynamics","Office of the Superintendent of Financial Institutions Canada",0
"dettwiler","Office of the Superintendent of Financial Institutions Canada",0
"atomics","Office of the Superintendent of Financial Institutions Canada",0
"skyalyne","Public Health Agency of Canada",0
"vancouver shipyards","Public Health Agency of Canada",0
"f35","Public Health Agency of Canada",0
"airbus","Public Health Agency of Canada",0
"textron","Public Health Agency of Canada",0
"dynamics","Public Health Agency of Canada",0
"dettwiler","Public Health Agency of Canada",0
"atomics","Public Health Agency of Canada",0
"skyalyne","Courts Administration Service",0
"vancouver shipyards","Courts Administration Service",0
"cae","Courts Administration Service",0
"f35","Courts Administration Service",0
"airbus","Courts Administration Service",0
"textron","Courts Administration Service",0
"dynamics","Courts Administration Service",0
"dettwiler","Courts Administration Service",0
"atomics","Courts Administration Service",0
"skyalyne","Immigration and Refugee Board of Canada",0
"vancouver shipyards","Immigration and Refugee Board of Canada",0
"cae","Immigration and Refugee Board of Canada",0
"f35","Immigration and Refugee Board of Canada",0
"bell","Immigration and Refugee Board of Canada",0
"airbus","Immigration and Refugee Board of Canada",0
"textron","Immigration and Refugee Board of Canada",0
"dynamics","Immigration and Refugee Board of Canada",0
"dettwiler","Immigration and Refugee Board of Canada",0
"atomics","Immigration and Refugee Board of Canada",0
"skyalyne","National Film Board",0
"vancouver shipyards","National Film Board",0
"cae","National Film Board",0
"f35","National Film Board",0
"airbus","National Film Board",0
"textron","National Film Board",0
"dynamics","National Film Board",0
"dettwiler","National Film Board",0
"atomics","National Film Board",0
"skyalyne","Canadian Space Agency",0
"vancouver shipyards","Canadian Space Agency",0
"cae","Canadian Space Agency",0
"f35","Canadian Space Agency",0
"textron","Canadian Space Agency",0
"dynamics","Canadian Space Agency",0
"atomics","Canadian Space Agency",0
"skyalyne","Canada School of Public Service",0
"vancouver shipyards","Canada School of Public Service",0
"cae","Canada School of Public Service",0
"f35","Canada School of Public Service",0
"bell","Canada School of Public Service",0
"airbus","Canada School of Public Service",0
"textron","Canada School of Public Service",0
"dynamics","Canada School of Public Service",0
"dettwiler","Canada School of Public Service",0
"atomics","Canada School of Public Service",0
"skyalyne","Infrastructure Canada",0
"vancouver shipyards","Infrastructure Canada",0
"cae","Infrastructure Canada",0
"f35","Infrastructure Canada",0
"airbus","Infrastructure Canada",0
"textron","Infrastructure Canada",0
"dynamics","Infrastructure Canada",0
"dettwiler","Infrastructure Canada",0
"atomics","Infrastructure Canada",0
"skyalyne","Social Sciences and Humanities Research Council of Canada",0
"vancouver shipyards","Social Sciences and Humanities Research Council of Canada",0
"cae","Social Sciences and Humanities Research Council of Canada",0
"f35","Social Sciences and Humanities Research Council of Canada",0
"airbus","Social Sciences and Humanities Research Council of Canada",0
"textron","Social Sciences and Humanities Research Council of Canada",0
"dynamics","Social Sciences and Humanities Research Council of Canada",0
"dettwiler","Social Sciences and Humanities Research Council of Canada",0
"atomics","Social Sciences and Humanities Research Council of Canada",0
"skyalyne","Parole Board of Canada",0
"vancouver shipyards","Parole Board of Canada",0
"cae","Parole Board of Canada",0
"f35","Parole Board of Canada",0
"airbus","Parole Board of Canada",0
"textron","Parole Board of Canada",0
"dynamics","Parole Board of Canada",0
"dettwiler","Parole Board of Canada",0
"atomics","Parole Board of Canada",0
"skyalyne","Canada Energy Regulator",0
"vancouver shipyards","Canada Energy Regulator",0
"f35","Canada Energy Regulator",0
"airbus","Canada Energy Regulator",0
"textron","Canada Energy Regulator",0
"dynamics","Canada Energy Regulator",0
"dettwiler","Canada Energy Regulator",0
"atomics","Canada Energy Regulator",0
"skyalyne","Civilian Review and Complaints Commission for the RCMP",0
"vancouver shipyards","Civilian Review and Complaints Commission for the RCMP",0
"cae","Civilian Review and Complaints Commission for the RCMP",0
"f35","Civilian Review and Complaints Commission for the RCMP",0
"bell","Civilian Review and Complaints Commission for the RCMP",0
"airbus","Civilian Review and Complaints Commission for the RCMP",0
"textron","Civilian Review and Complaints Commission for the RCMP",0
"dynamics","Civilian Review and Complaints Commission for the RCMP",0
"dettwiler","Civilian Review and Complaints Commission for the RCMP",0
"atomics","Civilian Review and Complaints Commission for the RCMP",0
"skyalyne","Public Prosecution Service of Canada",0
"vancouver shipyards","Public Prosecution Service of Canada",0
"cae","Public Prosecution Service of Canada",0
"f35","Public Prosecution Service of Canada",0
"airbus","Public Prosecution Service of Canada",0
